key,name,provider,provider_slug,category,category_label,benefit_type,application_status,application_status_source_url,application_status_checked_at,value_text,value_usd,eligibility,stages,max_funding_raised_usd,max_company_age_years,geographies,recurring_or_expiry,other_requirements,confidence,last_verified,source_url,apply_url,url
azibo-azibo-free-rent-collection-property-management,Azibo Free Rent Collection & Property Management,Azibo,azibo,productivity-saas,Productivity & SaaS,Free plan,unknown,,,"Free: no monthly fees, no ACH transaction fees",,No funding needed,any,,,United States,Free core,,high,,https://www.azibo.com/,https://www.azibo.com/,https://startupperks.co/programs/azibo-azibo-free-rent-collection-property-management
syncfusion-syncfusion-community-license,Syncfusion Community License,Syncfusion,syncfusion,dev-tools,Developer Tools,Free plan,unknown,,,Free access to all Syncfusion products,,No funding needed,idea; pre-seed; seed,,,,License valid while eligibility criteria are met,"Annual revenue under $1M USD, 5 or fewer developers, 10 or fewer total employees, and never received more than $3M in external (VC/PE) funding. Broader component suite; the analytics fit is via its dashboards/Bold BI and data-viz controls.",high,2026-09-21T00:00:47.078Z,https://www.syncfusion.com/products/communitylicense,https://www.syncfusion.com/products/communitylicense,https://startupperks.co/programs/syncfusion-syncfusion-community-license
genie-ai-genie-ai-free-plan,Genie AI Free plan,Genie AI,genie-ai,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free plan costs $0/month,0,No funding needed,any,,,,Free forever,,high,2026-09-21T00:00:47.078Z,https://www.genieai.co/pricing,https://www.genieai.co/pricing,https://startupperks.co/programs/genie-ai-genie-ai-free-plan
shippo-shippo-starter-free-plan,Shippo Starter (Free plan),Shippo,shippo,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free,0,No funding needed,any,,,United States,Free forever,,high,2026-09-21T06:00:24.664Z,https://goshippo.com/pricing,https://goshippo.com/pricing,https://startupperks.co/programs/shippo-shippo-starter-free-plan
scinote-scinote-free-eln,SciNote Free ELN,SciNote,scinote,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free electronic lab notebook for individual users,,No funding needed,any,,,,,,high,,https://scinote.net/,https://scinote.net/,https://startupperks.co/programs/scinote-scinote-free-eln
wooclap-wooclap-starter-free-plan,Wooclap Starter (Free plan),Wooclap,wooclap,productivity-saas,Productivity & SaaS,Free plan,unknown,,,For free,,No funding needed,any,,,,Free forever,,high,2026-09-21T06:00:33.992Z,https://www.wooclap.com/en/pricing/,https://www.wooclap.com/en/pricing/,https://startupperks.co/programs/wooclap-wooclap-starter-free-plan
veridion-veridion-startup-program,Veridion Startup Program,Veridion,veridion,databases-data,Databases & Data,Credits,unknown,,,"30,000 API credits, valid for up to 3 months",,Incorporated,pre-seed; seed; series-a,,,,"Credits cover up to 3 months, then tier-based pricing","Incorporated within 5 years, revenue under $1M, team under 20, not a Veridion competitor, building a data-powered product (fintech, SaaS, insurtech, procuretech or adjacent).",high,2026-09-21T06:00:33.992Z,https://veridion.com/startup-program,https://veridion.com/startup-program,https://startupperks.co/programs/veridion-veridion-startup-program
rentspree-rentspree-rental-applications-screening-free-for-a,RentSpree Rental Applications & Screening (Free for agents/landlords),RentSpree,rentspree,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free for agents & landlords (applicant pays for screening),,No funding needed,any,,,United States,Free core,,high,,https://www.rentspree.com/,https://www.rentspree.com/,https://startupperks.co/programs/rentspree-rentspree-rental-applications-screening-free-for-a
stessa-stessa-essentials-free-plan,Stessa Essentials (Free plan),Stessa,stessa,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free 'Essentials' plan,,No funding needed,any,,,United States,Free forever,,high,,https://www.stessa.com/,https://www.stessa.com/,https://startupperks.co/programs/stessa-stessa-essentials-free-plan
rentler-rentler-for-landlords-free,Rentler for Landlords (Free),Rentler,rentler,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free to use for landlords,,No funding needed,any,,,United States,Free core,,high,2026-09-21T06:00:41.548Z,https://www.rentler.com/pricing,https://www.rentler.com/pricing,https://startupperks.co/programs/rentler-rentler-for-landlords-free
innago-innago-free-property-management-software,Innago Free Property Management Software,Innago,innago,productivity-saas,Productivity & SaaS,Free plan,unknown,,,"Free forever (no monthly, setup, or contract fees)",,No funding needed,any,,,United States,Free forever,,high,,https://innago.com/,https://innago.com/,https://startupperks.co/programs/innago-innago-free-property-management-software
chipfoundry-chipignite-mpw-shuttle,chipIgnite MPW Shuttle,ChipFoundry,chipfoundry,dev-tools,Developer Tools,Program,unknown,,,"$14,950 per tapeout: up to 15mm2 die, 38 I/Os, 100 packaged parts, dev board, open-source flow",14950,No funding needed,idea; pre-seed; seed,,,,Scheduled shuttles (e.g. CI2609),,high,,https://chipfoundry.io/,https://chipfoundry.io/,https://startupperks.co/programs/chipfoundry-chipignite-mpw-shuttle
easypost-easypost-free-shipping-api,EasyPost Free shipping API,EasyPost,easypost,dev-tools,Developer Tools,Free plan,unknown,,,"Free for up to 3,000 labels (Wallet Carriers)",,No funding needed,any,,,United States,Free tier,,high,,https://www.easypost.com/pricing,https://www.easypost.com/pricing,https://startupperks.co/programs/easypost-easypost-free-shipping-api
muse-semiconductor-muse-semiconductor-mpw-shuttles,Muse Semiconductor MPW Shuttles,Muse Semiconductor,muse-semiconductor,dev-tools,Developer Tools,Program,unknown,,,Affordable TSMC multi-project wafer (MPW) shuttle tapeouts with short lead times and small minimum areas,,No funding needed,idea; pre-seed; seed,,,,Frequent shuttle schedule,,high,,https://www.musesemi.com/,https://www.musesemi.com/,https://startupperks.co/programs/muse-semiconductor-muse-semiconductor-mpw-shuttles
skywater-technology-sky130-open-source-pdk,SKY130 Open-Source PDK,SkyWater Technology,skywater-technology,dev-tools,Developer Tools,Free plan,unknown,,,Free access to chip design technology,,No funding needed,idea; pre-seed; seed,,,,Shuttles run several times per year,,medium,2026-09-21T06:00:41.548Z,https://www.skywatertechnology.com/sky130-open-source-pdk/,https://www.skywatertechnology.com/sky130-open-source-pdk/,https://startupperks.co/programs/skywater-technology-sky130-open-source-pdk
ihp-microelectronics-ihp-open-source-mpw-prototyping,IHP Open-Source MPW Prototyping,IHP Microelectronics,ihp-microelectronics,dev-tools,Developer Tools,Program,unknown,,,"Low-cost open-source MPW shuttle on SiGe BiCMOS (SG13G2), plus an open Assembly Design Kit for chiplets",,Any startup,idea; pre-seed; seed,,,,Scheduled shuttles,,high,,https://www.ihp-microelectronics.com/,https://www.ihp-microelectronics.com/,https://startupperks.co/programs/ihp-microelectronics-ihp-open-source-mpw-prototyping
xodo-sign-eversign-xodo-sign-free-e-signature-plan,Xodo Sign Free e-signature plan,Xodo Sign (eversign),xodo-sign-eversign,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free plan: 3 documents/month,,No funding needed,any,,,,Free forever,Product rebranded from eversign to Xodo Sign; pricing served on eversign.com.,high,,https://www.eversign.com/pricing,https://www.eversign.com/pricing,https://startupperks.co/programs/xodo-sign-eversign-xodo-sign-free-e-signature-plan
circuitmaker-altium-circuitmaker-free-pcb-design,CircuitMaker Free PCB Design,CircuitMaker (Altium),circuitmaker-altium,dev-tools,Developer Tools,Free plan,unknown,,,"Free PCB design software, free for commercial use, no layer or board-area limits",,No funding needed,idea; pre-seed; seed,,,,,,high,,https://circuitmaker.com/,https://circuitmaker.com/,https://startupperks.co/programs/circuitmaker-altium-circuitmaker-free-pcb-design
oneflow-oneflow-free-contract-plan,Oneflow Free contract plan,Oneflow,oneflow,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,"Free forever: send, track and sign contracts",,No funding needed,any,,,,Free forever,,high,,https://oneflow.com/pricing/,https://oneflow.com/pricing/,https://startupperks.co/programs/oneflow-oneflow-free-contract-plan
europractice-europractice-ic-service,EUROPRACTICE IC Service,EUROPRACTICE,europractice,dev-tools,Developer Tools,Discount,unknown,,,Subsidized multi-project wafer (MPW) prototyping and discounted EDA/CAD tool licenses for academia and SMEs,,Any startup,idea; pre-seed; seed; series-a,,,,Published shuttle schedules per year,"Universities, research institutes and SMEs",high,,https://europractice-ic.com/,https://europractice-ic.com/,https://startupperks.co/programs/europractice-europractice-ic-service
simscale-simscale-community-plan,SimScale Community Plan,SimScale,simscale,dev-tools,Developer Tools,Free plan,unknown,,,Free for testing and learning,,No funding needed,idea; pre-seed; seed; series-a,,,,,,high,2026-09-21T12:00:19.788Z,https://www.simscale.com/product/pricing/,https://www.simscale.com/product/pricing/,https://startupperks.co/programs/simscale-simscale-community-plan
tiny-tapeout-tiny-tapeout-shared-shuttle,Tiny Tapeout Shared Shuttle,Tiny Tapeout,tiny-tapeout,dev-tools,Developer Tools,Program,unknown,,,"Low-cost custom chip fabrication on shared shuttles (from ~$50-$300 tiers), early-bird discounts",,No funding needed,idea; pre-seed; seed,,,,Multiple shuttles open per year,,high,,https://tinytapeout.com/,https://tinytapeout.com/,https://startupperks.co/programs/tiny-tapeout-tiny-tapeout-shared-shuttle
mathworks-mathworks-startup-program,MathWorks Startup Program,MathWorks,mathworks,dev-tools,Developer Tools,Discount,unknown,,,Low-cost access to MATLAB and Simulink,,Any startup,idea; pre-seed; seed; series-a,,,,Annual license,"Typically <5 years old, <15 engineers, <$1M revenue",high,2026-09-21T12:00:19.788Z,https://www.mathworks.com/products/startups.html,https://www.mathworks.com/products/startups.html,https://startupperks.co/programs/mathworks-mathworks-startup-program
flux-flux-free-plan,Flux Free Plan,Flux,flux,dev-tools,Developer Tools,Free plan,unknown,,,Free browser-based PCB design account (public projects and community); paid AI plans from $20/mo,,No funding needed,idea; pre-seed; seed,,,,,,high,,https://www.flux.ai/p/pricing,https://www.flux.ai/p/pricing,https://startupperks.co/programs/flux-flux-free-plan
onshape-ptc-onshape-for-startups,Onshape for Startups,Onshape (PTC),onshape-ptc,dev-tools,Developer Tools,Free plan,unknown,,,At no cost,,Any startup,idea; pre-seed; seed; series-a,,,,Reapply annually,New customers only,high,2026-09-21T12:00:31.014Z,https://www.onshape.com/en/startups,https://www.onshape.com/en/startups,https://startupperks.co/programs/onshape-ptc-onshape-for-startups
recur-club-recur-club-debt-revenue-based-financing,Recur Club (Debt & Revenue-Based Financing),Recur Club,recur-club,finance-ops,Finance & Ops,Cash & rewards,unknown,,,"Non-dilutive debt: Recur Swift up to Rs 10 crore (Rs 5cr+ rev), Recur Scale up to Rs 250 crore, Rocket Loans up to Rs 1 crore in 48 hrs",,Incorporated,seed; series-a; series-b-plus,,,India,,Revenue thresholds apply (e.g. Rs 5 crore+ for Recur Swift).,medium,,https://recurclub.com/,https://recurclub.com/,https://startupperks.co/programs/recur-club-recur-club-debt-revenue-based-financing
holded-holded-for-startups,Holded for Startups,Holded,holded,productivity-saas,Productivity & SaaS,Discount,unknown,,,50% off for 3 months,,Any startup,idea; pre-seed; seed; any,,,Spain,Discount applies to first 3 months,,high,2026-09-21T18:00:42.810Z,https://www.holded.com/startups,https://www.holded.com/startups,https://startupperks.co/programs/holded-holded-for-startups
cleura-cleura-startup-program,Cleura Startup Program,Cleura,cleura,cloud-infra,Cloud & Infrastructure,Credits,paused,https://cleura.com/cleura-startup-program/,2026-09-22T18:15:05.218Z,Up to €20 000 in free credits,,Any startup,pre-seed; seed; series-a,,,Europe,Ongoing,,medium,2026-09-22T18:15:05.218Z,https://cleura.com/cleura-startup-program/,,https://startupperks.co/programs/cleura-cleura-startup-program
griffin-griffin-free-sandbox-baas,Griffin Free Sandbox (BaaS),Griffin,griffin,banking-fintech,Banking & Fintech,Free plan,unknown,,,"Free banking-as-a-service developer sandbox (no fees, no NDA) to build and test financial products",,No funding needed,idea; pre-seed; seed,,,United Kingdom,Ongoing,,high,,https://www.griffin.com/,https://www.griffin.com/,https://startupperks.co/programs/griffin-griffin-free-sandbox-baas
mettle-by-natwest-mettle-business-account,Mettle Business Account,Mettle by NatWest,mettle-by-natwest,banking-fintech,Banking & Fintech,Free plan,unknown,,,"Free business bank account for sole traders and small limited companies (NatWest-backed), with FreeAgent and tax tools",,No funding needed,any,,,United Kingdom,Ongoing,For sole traders and limited companies with up to two owners.,high,,https://www.mettle.co.uk/,https://www.mettle.co.uk/,https://startupperks.co/programs/mettle-by-natwest-mettle-business-account
zempler-bank-free-business-bank-account,Free Business Bank Account,Zempler Bank,zempler-bank,banking-fintech,Banking & Fintech,Free plan,unknown,,,Free FSCS-protected business bank account for micro-businesses and sole traders,,No funding needed,any,,,United Kingdom,Ongoing,,high,,https://www.zemplerbank.com/,https://www.zemplerbank.com/,https://startupperks.co/programs/zempler-bank-free-business-bank-account
naver-cloud-greenhouse-startup-support-program,Greenhouse Startup Support Program,NAVER Cloud,naver-cloud,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"Startup support program providing cloud infrastructure credits, training, and technical consulting for startups (credit amount per tier on application)",,Any startup,pre-seed; seed; series-a,,,South Korea,,,medium,,https://www.ncloud.com/support/greenHouse,https://www.ncloud.com/support/greenHouse,https://startupperks.co/programs/naver-cloud-greenhouse-startup-support-program
catalyst-cloud-free-trial-credit-developmentresearcheducatio,Free trial credit + Development/Research/Education cloud grants,Catalyst Cloud,catalyst-cloud,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"Free Catalyst Cloud usage up to $1,000 per month",1000,No funding needed,idea; pre-seed; seed,,,New Zealand,,,low,2026-09-22T18:00:43.839Z,https://catalystcloud.nz/pricing/development-grant/,https://catalystcloud.nz/,https://startupperks.co/programs/catalyst-cloud-free-trial-credit-developmentresearcheducatio
freeagent-freeagent-free-for-bank-customers-intro-discount,FreeAgent (free for bank customers / intro discount),FreeAgent,freeagent,finance-ops,Finance & Ops,Free plan,unknown,,,Free,,No funding needed,idea; pre-seed; seed; any,,,United Kingdom,Intro 50% discount lasts 6 months,Free access is tied to holding a qualifying NatWest/RBS/Ulster/Mettle account.,high,2026-09-23T00:00:21.526Z,https://www.freeagent.com/pricing/,https://www.freeagent.com/pricing/,https://startupperks.co/programs/freeagent-freeagent-free-for-bank-customers-intro-discount
finaloop-finaloop-for-ecommerce-startups,Finaloop for ecommerce startups,Finaloop,finaloop,finance-ops,Finance & Ops,Free plan,unknown,,,Free trial + free books for onboarding & prior 2 months,,No funding needed,pre-seed; seed,,,United States,,,low,,https://www.finaloop.com/solutions/startup,https://www.finaloop.com/solutions/startup,https://startupperks.co/programs/finaloop-finaloop-for-ecommerce-startups
capbase-capbase-startup-partner-perks,Capbase startup partner perks,Capbase,capbase,finance-ops,Finance & Ops,Discount,unknown,,,Get $25k+ in discounts for your startup,25000,Any startup,idea; pre-seed; seed,,,United States,,Partner discounts are unlocked with a Capbase subscription ($999/year).,high,2026-09-23T00:00:21.526Z,https://capbase.com/pricing/,https://capbase.com/pricing/,https://startupperks.co/programs/capbase-capbase-startup-partner-perks
vestd-vestd-free-plan,Vestd Free Plan,Vestd,vestd,finance-ops,Finance & Ops,Free plan,unknown,,,Free digital cap table & share scheme designer,,No funding needed,idea; pre-seed; seed,,,United Kingdom,,,high,,https://www.vestd.com/free-plan,https://app.vestd.com/do/register-free-plan,https://startupperks.co/programs/vestd-vestd-free-plan
quaderno-quaderno-startup-plan,Quaderno Startup plan,Quaderno,quaderno,finance-ops,Finance & Ops,Discount,unknown,,,Startup plan at $49/mo + 7-day free trial,,No funding needed,seed; series-a,,,,7-day free trial then paid,,low,,https://quaderno.io/pricing/,https://quaderno.io/pricing/,https://startupperks.co/programs/quaderno-quaderno-startup-plan
signoz-signoz-for-startups,SigNoz for Startups,SigNoz,signoz,dev-tools,Developer Tools,Discount,unknown,,,"$19/month, including $19 of SigNoz Cloud telemetry usage for the first 12 months",,Any startup,pre-seed; seed; series-a,,,,,"Less than 3 years old, fewer than 30 employees, raised less than $6M.",high,2026-09-23T00:00:52.390Z,https://signoz.io/startups/,https://signoz.io/startups/,https://startupperks.co/programs/signoz-signoz-for-startups
clockify-clockify-free-plan,Clockify Free Plan,Clockify,clockify,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free plan,,No funding needed,idea; pre-seed; seed,,,,,,medium,2026-09-23T00:00:52.390Z,https://clockify.me/pricing,https://clockify.me/pricing,https://startupperks.co/programs/clockify-clockify-free-plan
cookiebot-cookiebot-core-free,Cookiebot Core Free,Cookiebot,cookiebot,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free,,No funding needed,idea; pre-seed; seed,,,,,,high,2026-09-23T00:00:52.390Z,https://www.cookiebot.com/en/pricing/,https://www.cookiebot.com/en/pricing/,https://startupperks.co/programs/cookiebot-cookiebot-core-free
secfi-secfi-equity-planning-tools,Secfi Equity Planning Tools,Secfi,secfi,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free equity/stock-option planning tools,,No funding needed,seed; series-a; series-b-plus,,,United States,,,low,2026-09-23T06:00:28.052Z,https://secfi.com/,https://secfi.com/,https://startupperks.co/programs/secfi-secfi-equity-planning-tools
pulumi-pulumi-for-startups,Pulumi for Startups,Pulumi,pulumi,dev-tools,Developer Tools,Credits,unknown,,,"Up to $10,000 in Pulumi credits",10000,Any startup,idea; pre-seed; seed,,,,Credits applied for up to 12 months,Pre-Series A companies with less than $1M annual revenue.,high,2026-09-23T06:00:28.052Z,https://www.pulumi.com/pulumi-for-startups/,https://www.pulumi.com/pulumi-for-startups/,https://startupperks.co/programs/pulumi-pulumi-for-startups
opensign-opensign-free-open-source,OpenSign Free / Open Source,OpenSign,opensign,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free plan (unlimited signatures) + open source,,No funding needed,idea; pre-seed; seed,,,,Free tier / open source,,medium,,https://www.opensignlabs.com/,https://www.opensignlabs.com/,https://startupperks.co/programs/opensign-opensign-free-open-source
testmu-ai-lambdatest-testmu-ai-for-startups,TestMu AI for Startups,TestMu AI (LambdaTest),testmu-ai-lambdatest,dev-tools,Developer Tools,Free plan,unknown,,,Free access to cross-browser/mobile test platform,,Any startup,idea; pre-seed; seed,,,,,"Funding up to $1M, <3 years old, <30 people, <$10K MRR, not an existing LambdaTest customer.",high,2026-09-23T06:00:38.164Z,https://www.testmuai.com/for-startups/,https://www.testmuai.com/for-startups/,https://startupperks.co/programs/testmu-ai-lambdatest-testmu-ai-for-startups
teleport-teleport-community-edition,Teleport Community Edition,Teleport,teleport,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Apache-2 licensed open source project,,No funding needed,any,,,,Free forever (self-hosted),,medium,2026-09-23T06:00:38.164Z,https://goteleport.com/community/,https://goteleport.com/community/,https://startupperks.co/programs/teleport-teleport-community-edition
arnica-arnica-free-plan,Arnica Free Plan,Arnica,arnica,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free ($0),,No funding needed,idea; pre-seed; seed,,,,Free forever,,medium,2026-09-23T06:00:38.164Z,https://www.arnica.io/pricing,https://www.arnica.io/pricing,https://startupperks.co/programs/arnica-arnica-free-plan
zipbooks-zipbooks-starter-free,ZipBooks Starter (Free),ZipBooks,zipbooks,finance-ops,Finance & Ops,Free plan,unknown,,,Starts at free,,No funding needed,idea; pre-seed; seed; any,,,United States,,,high,2026-09-23T06:00:59.582Z,https://zipbooks.com/pricing/,https://zipbooks.com/pricing/,https://startupperks.co/programs/zipbooks-zipbooks-starter-free
casdoor-casdoor-open-source,Casdoor Open Source,Casdoor,casdoor,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free open-source IAM/SSO,,No funding needed,any,,,,Free forever (self-hosted),,medium,,https://casdoor.ai/,https://casdoor.ai/,https://startupperks.co/programs/casdoor-casdoor-open-source
permitio-permitio-community-free,Permit.io Community (Free),Permit.io,permitio,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free,,No funding needed,idea; pre-seed; seed,,,,Free forever,,high,2026-09-23T06:00:59.582Z,https://www.permit.io/pricing,https://www.permit.io/pricing,https://startupperks.co/programs/permitio-permitio-community-free
invoice-ninja-invoice-ninja-free-forever,Invoice Ninja (Free forever),Invoice Ninja,invoice-ninja,finance-ops,Finance & Ops,Free plan,unknown,,,Free-forever invoicing/accounting (5 clients) + open source,,No funding needed,idea; pre-seed; any,,,,,Free hosted tier limited to 5 clients.,high,,https://www.invoiceninja.com/,https://www.invoiceninja.com/,https://startupperks.co/programs/invoice-ninja-invoice-ninja-free-forever
astrella-astrella-extended-free-use,Astrella (extended free use),Astrella,astrella,finance-ops,Finance & Ops,Discount,unknown,,,Free trial + up to 1 year free on multi-year plans,,No funding needed,seed; series-a; any,,,,,Extended free access requires a two- or three-year plan commitment.,low,2026-09-23T12:00:20.156Z,https://www.astrella.com/,https://www.astrella.com/,https://startupperks.co/programs/astrella-astrella-extended-free-use
oso-oso-developer-free,Oso Developer (Free),Oso,oso,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free Developer plan (3 users),,No funding needed,idea; pre-seed; seed,,,,,,medium,,https://www.osohq.com/pricing,https://www.osohq.com/pricing,https://startupperks.co/programs/oso-oso-developer-free
incidentio-incidentio-for-startups,incident.io for Startups,incident.io,incidentio,dev-tools,Developer Tools,Credits,unknown,,,"$1,500 off our Team plan",1500,Any startup,pre-seed; seed,,,,"$1,500 credit expires 1 year after moving to Team","New incident.io customer, under 20 employees; credits valid 1 year.",high,2026-09-23T12:00:20.156Z,https://incident.io/startups,https://incident.io/startups,https://startupperks.co/programs/incidentio-incidentio-for-startups
passbolt-passbolt-community-edition,Passbolt Community Edition,Passbolt,passbolt,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free open-source Community Edition,,No funding needed,any,,,,Free forever (self-hosted),,high,,https://www.passbolt.com/pricing,https://www.passbolt.com/pricing,https://startupperks.co/programs/passbolt-passbolt-community-edition
mojoauth-mojoauth-free-plan,MojoAuth Free Plan,MojoAuth,mojoauth,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,"Free Basic features with 25,000 MAUs",,No funding needed,idea; pre-seed; seed,,,,,,high,2026-09-23T12:00:30.866Z,https://mojoauth.com/pricing,https://mojoauth.com/pricing,https://startupperks.co/programs/mojoauth-mojoauth-free-plan
authgear-authgear-free-plan,Authgear Free Plan,Authgear,authgear,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,$0/month,,No funding needed,idea; pre-seed; seed,,,,,,medium,2026-09-23T12:00:40.383Z,https://www.authgear.com/pricing,https://www.authgear.com/pricing,https://startupperks.co/programs/authgear-authgear-free-plan
sambanova-sambanova-startup-developer-early-access-program,SambaNova Startup / Developer Early Access Program,SambaNova,sambanova,ai-ml,AI & ML,Program,unknown,,,"Higher usage limits, accelerator support, and exclusive partner credits",,Any startup,pre-seed; seed; series-a,,,,,,medium,2026-09-23T18:00:26.040Z,https://sambanova.ai/startup-accelerator,https://sambanova.ai/startup-accelerator,https://startupperks.co/programs/sambanova-sambanova-startup-developer-early-access-program
voltage-park-ai-cloud-credit-for-research,AI Cloud Credit for Research,Voltage Park,voltage-park,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,Credits/discounts on GPU infrastructure (eligibility-based),,Any startup,any,,,,,Research-oriented; amounts and eligibility confirmed after review.,low,,https://www.voltagepark.com/startups,https://www.voltagepark.com/startups,https://startupperks.co/programs/voltage-park-ai-cloud-credit-for-research
weglot-go-global-by-weglot,Go Global by Weglot,Weglot,weglot,productivity-saas,Productivity & SaaS,Program,unknown,,,€100k benefits,,Any startup,seed; series-a; any,,,France,Cohort-based; latest cohort closed with a waitlist open.,French-registered companies only; excludes solo entrepreneurs and large enterprises.,medium,2026-09-23T18:00:37.748Z,https://weglot.com/go-global-program,https://weglot.com/go-global-program,https://startupperks.co/programs/weglot-go-global-by-weglot
yugabyte-yugabytedb-cloud-for-startups,YugabyteDB Cloud for Startups,Yugabyte,yugabyte,databases-data,Databases & Data,Credits,unknown,,,No initial fees,,Any startup,pre-seed; seed; series-a,,,,,,medium,2026-09-23T18:00:37.748Z,https://www.yugabyte.com/startups/,https://www.yugabyte.com/startups/,https://startupperks.co/programs/yugabyte-yugabytedb-cloud-for-startups
cyso-cloud-cyso-cloud-startup-program,Cyso Cloud Startup Program,Cyso Cloud,cyso-cloud,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"Up to €10,000 in Free Cloud Credits",,Incorporated,pre-seed; seed; series-a,,,Europe,Credits valid for 18 months,"Incorporated fewer than 5 years ago, operational website, documented growth strategy, and commitment to European data sovereignty/GDPR.",high,2026-09-23T18:00:37.748Z,https://www.cyso.cloud/startup-program,https://www.cyso.cloud/startup-program,https://startupperks.co/programs/cyso-cloud-cyso-cloud-startup-program
akeyless-akeyless-free,Akeyless Free,Akeyless,akeyless,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Starter Tier Inclusion: Included,,No funding needed,idea; pre-seed; seed,,,,Free forever,,high,2026-09-23T18:00:37.748Z,https://www.akeyless.io/pricing/,https://www.akeyless.io/pricing/,https://startupperks.co/programs/akeyless-akeyless-free
aptible-aptible-for-startups,Aptible for Startups,Aptible,aptible,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,50% off the production plan base fee ($250/mo in credits),250,Any startup,pre-seed; seed; series-a,,,,6-month credit window,,high,2026-09-23T18:00:51.942Z,https://www.aptible.com/startup,https://www.aptible.com/startup,https://startupperks.co/programs/aptible-aptible-for-startups
excalidraw-free-open-source-editor,Free & open-source editor,Excalidraw,excalidraw,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free open-source whiteboard,,No funding needed,any,,,,Perpetual free (open source),,high,,https://plus.excalidraw.com/,https://plus.excalidraw.com/,https://startupperks.co/programs/excalidraw-free-open-source-editor
eraser-free-plan,Free plan,Eraser,eraser,dev-tools,Developer Tools,Free plan,unknown,,,$0 / member / mo,0,No funding needed,any,,,,Perpetual free tier,,high,2026-09-24T00:00:19.591Z,https://www.eraser.io/pricing,https://www.eraser.io/pricing,https://startupperks.co/programs/eraser-free-plan
archbee-startup-program-discount-free-plan-for-open-source,Startup program (discount) + free plan for open source,Archbee,archbee,productivity-saas,Productivity & SaaS,Discount,unknown,,,50% discount on any plan for 2 years; Free Growing plan for open source software,,Any startup,idea; pre-seed; seed,,,,50% discount for 2 years,Startup discount and open-source free plan are granted on application per Archbee's terms.,high,2026-09-24T00:00:19.591Z,https://www.archbee.com/pricing,https://www.archbee.com/pricing,https://startupperks.co/programs/archbee-startup-program-discount-free-plan-for-open-source
openreplay-open-source-free-self-hosted,Open-source (Free self-hosted),OpenReplay,openreplay,dev-tools,Developer Tools,Free plan,unknown,,,Open-Source is free,,No funding needed,any,,,,Perpetual free (self-hosted),,high,2026-09-24T00:00:19.591Z,https://openreplay.com/pricing/,https://openreplay.com/pricing/,https://startupperks.co/programs/openreplay-open-source-free-self-hosted
mockoon-free-open-source-desktop-cli,Free & open-source (desktop & CLI),Mockoon,mockoon,dev-tools,Developer Tools,Free plan,unknown,,,Free and open-source API mocking,,No funding needed,any,,,,Perpetual free (open source),,high,,https://mockoon.com/,https://mockoon.com/,https://startupperks.co/programs/mockoon-free-open-source-desktop-cli
nuclino-free-plan,Free plan,Nuclino,nuclino,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free,,No funding needed,any,,,,Perpetual free tier,,high,2026-09-24T00:00:28.702Z,https://www.nuclino.com/pricing,https://www.nuclino.com/pricing,https://startupperks.co/programs/nuclino-free-plan
beamer-free-plan,Free plan,Beamer,beamer,productivity-saas,Productivity & SaaS,Free plan,unknown,,,$0,0,No funding needed,any,,,,Perpetual free tier,,high,2026-09-24T00:00:28.702Z,https://www.getbeamer.com/pricing,https://www.getbeamer.com/pricing,https://startupperks.co/programs/beamer-free-plan
crisp-free-plan,Free plan,Crisp,crisp,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free for 14 days,0,No funding needed,any,,,,Perpetual free tier,,high,2026-09-24T00:00:28.702Z,https://crisp.chat/en/pricing/,https://crisp.chat/en/pricing/,https://startupperks.co/programs/crisp-free-plan
